Country code,Country name,Total cases today,Estimate of final number of cases,Estimate of number of cases tomorrow,Estimate of number of cases in 3 days,Estimate of number of cases in 7 days,Number of days for doubling,Number of days until inflection,Inflection date
IL,Israel,677,45277339,847,1445,4203,5.20,69,2020-05-01
AE,United_Arab_Emirates,140,797,144,170,230,13.72,69,2020-04-05
EG,Egypt,210,424,234,280,351,6.09,34,2020-03-20
IR,Iran,18407,21935,18657,19741,21001,6.06,22,2020-03-13
IT,Italy,41035,94913,45533,55171,72024,6.78,50,2020-03-21
PH,Philippines,230,294,244,268,288,3.71,47,2020-03-17
PL,Poland,355,635,412,509,603,3.55,15,2020-03-19
IS,Iceland,330,1377,365,473,721,7.46,26,2020-03-26
DK,Denmark,1151,1063,1059,1061,1062,2.11,15,2020-03-13
ES,Spain,17147,32411,19441,24122,29703,4.18,48,2020-03-20
AU,Australia,709,165832403,843,1257,2794,6.94,117,2020-05-21
IQ,Iraq,177,693,198,240,334,9.89,32,2020-03-28
SE,Sweden,1423,1519,1413,1467,1507,3.69,42,2020-03-14
DE,Germany,14138,2488298599,16606,27787,77800,5.39,99,2020-05-06
US,United_States_of_America,14250,5825594612,19006,36726,137125,4.21,98,2020-04-28
AM,Armenia,122,153,138,149,153,1.95,17,2020-03-18
EL,Greece,464,613,499,547,593,4.38,18,2020-03-16
EE,Estonia,267,273,268,272,273,1.92,16,2020-03-15
FI,Finland,400,449,408,430,446,3.34,45,2020-03-15
JP,Japan,950,1410,983,1052,1166,11.35,59,2020-03-14
KW,Kuwait,148,2436,160,185,245,17.95,60,2020-04-24
QA,Qatar,460,443,443,443,443,1.76,12,2020-03-13
BG,Bulgaria,105,129,111,121,128,3.08,9,2020-03-17
MX,Mexico,164,570,202,295,459,4.13,23,2020-03-23
TH,Thailand,212,30127557,180,207,276,19.44,237,2020-09-06
SK,Slovakia,123,138,127,134,138,2.61,9,2020-03-16
SM,San_Marino,126,131,120,124,129,4.99,13,2020-03-12
EC,Ecuador,199,814,277,441,701,3.34,22,2020-03-23
PK,Pakistan,478,2246,692,1240,2031,2.72,25,2020-03-23
LB,Lebanon,149,212,157,173,195,5.96,24,2020-03-17
BE,Belgium,1795,3943,2037,2549,3323,5.16,46,2020-03-21
IN,India,191,903,212,271,409,8.38,58,2020-03-28
RS,Serbia,126,348,144,195,280,4.73,15,2020-03-22
TW,Taiwan,108,7642362,89,98,119,29.25,299,2020-11-15
BH,Bahrain,269,360,284,304,332,7.25,19,2020-03-14
RU,Russia,199,7185982,255,433,1245,5.26,88,2020-04-29
RO,Romania,277,368,305,337,361,3.49,19,2020-03-17
ZA,South_Africa,150,466,190,276,403,3.73,16,2020-03-22
ID,Indonesia,227,264,228,247,261,3.22,15,2020-03-17
HR,Croatia,104,18174166,123,182,397,7.10,85,2020-05-21
PA,Panama,137,375,164,224,316,4.34,12,2020-03-22
AR,Argentina,128,2002,154,231,487,6.16,28,2020-04-01
SA,Saudi_Arabia,238,478,253,316,409,5.01,18,2020-03-21
IE,Ireland,557,119176954,726,1324,4405,4.61,60,2020-04-30
PT,Portugal,785,2098,992,1385,1890,3.59,18,2020-03-21
MY,Malaysia,900,3836,1124,1558,2497,5.53,60,2020-03-25
CN,China,81337,80962,80953,80956,80960,6.16,40,2020-02-09
SG,Singapore,345,42456958,312,348,432,25.51,275,2020-10-25
NL,Netherlands,2460,6573,2832,3653,5086,5.52,23,2020-03-22
AT,Austria,2196,12353,2703,4059,7397,4.97,29,2020-03-26
CL,Chile,342,962,428,615,862,3.49,18,2020-03-22
PE,Peru,234,38845857,310,593,2171,4.28,50,2020-04-26
CA,CANADA,846,10733,1087,1699,3689,5.42,64,2020-03-30
BR,Brazil,621,163126984,827,1551,5455,4.41,63,2020-04-29
JPG11668,Cases_on_an_international_conveyance_Japan,696,525,525,525,525,-0.12,107,2020-05-22
CO,Colombia,128,311,157,215,285,3.53,14,2020-03-21
LU,Luxembourg,345,91138846,519,1225,6832,3.23,48,2020-04-18
KR,South_Korea,8652,8365,8342,8353,8362,4.40,42,2020-03-02
SI,Slovenia,319,321,312,318,320,2.48,10,2020-03-15
UK,United_Kingdom,3277,450659,4143,6622,16721,5.84,70,2020-04-10
CZ,Czech_Republic,694,2032,818,1117,1627,4.65,20,2020-03-22
CH,Switzerland,3888,7007,4247,5152,6310,4.70,23,2020-03-20
FR,France,10995,23357,12341,15278,19701,5.30,56,2020-03-21
NO,Norway,1552,1804,1606,1702,1779,3.86,17,2020-03-15
